news_id,news_url,image_url
11,https://www.misbar.com/factcheck/2025/05/15/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%B9%D8%A7%D9%85-2024-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D9%84%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D9%86%D9%8A%D8%A7%D9%84%D8%A7,https://assets.misbar.com/styles/small_scale_180/public/images/2025-05/tshad.PNG.webp?itok=h55X0Zmd
12,https://www.misbar.com/factcheck/2025/05/14/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%A7%D9%84%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D8%A7%D8%B3%D8%AA%D8%B9%D8%AF%D8%A7%D8%AF%D9%87-%D9%84%D9%84%D8%AA%D9%81%D8%A7%D9%88%D8%B6-%D9%84%D8%A5%D9%86%D9%87%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%82%D8%AF%D9%8A%D9%85,https://assets.misbar.com/styles/large_425x240/public/images/2025-05/6.PNG.webp?itok=rS1AjBdU
13,https://www.misbar.com/factcheck/2025/05/13/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%AA%D8%B4%D9%8A%D9%8A%D8%B9-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%AF-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D9%8A%D9%86-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%85-%D9%8A%D9%8F%D9%82%D8%AA%D9%84%D9%88%D8%A7-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D9%85%D8%B7%D8%A7%D8%B1-%D9%86%D9%8A%D8%A7%D9%84%D8%A7-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-05/alghlaf_4.jpg.webp?itok=S-8z7lZk
14,https://www.misbar.com/factcheck/2025/05/09/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D9%88%D8%B5%D9%88%D9%84-%D9%82%D9%88%D8%A7%D8%AA-%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9-%D8%A5%D8%B1%D9%8A%D8%AA%D8%B1%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A8%D9%88%D8%B1%D8%AA%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-05/ald%60m-alsry%60.png.webp?itok=0zSejO32
15,https://www.misbar.com/factcheck/2025/05/06/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D9%85%D8%B3%D9%8A%D8%B1%D8%A9-%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D9%84%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A8%D9%88%D8%B1%D8%AA%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/small_scale_180/public/images/2025-05/fydyw-qdym-wlys-lasthdaf-msyrt-tab%60t-lld%60m-alsry%60-fy-bwrtswdan-hdythana.png.webp?itok=I-55dL-P
16,https://www.misbar.com/factcheck/2025/05/05/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9-%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%B7%D8%A7%D8%B1-%D9%86%D9%8A%D8%A7%D9%84%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-05/qsf-mtar-nyala.PNG.webp?itok=2SAe94WY
17,https://www.misbar.com/factcheck/2025/05/04/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D9%86-2017-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%AC%D8%AB%D8%A7%D9%85%D9%8A%D9%86-%D8%B6%D8%A8%D8%A7%D8%B7-%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D9%8A%D9%86-%D9%82%D8%AA%D9%84%D9%88%D8%A7-%D9%81%D9%8A-%D9%85%D8%B7%D8%A7%D8%B1-%D9%86%D9%8A%D8%A7%D9%84%D8%A7-%D8%A8%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-05/dbat-amaratyyn.PNG.webp?itok=6w620yb4
18,https://www.misbar.com/factcheck/2025/04/30/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%B4%D8%A7%D8%AD%D9%86%D8%A7%D8%AA-%D9%88%D9%82%D9%88%D8%AF-%D9%85%D8%AA%D8%AC%D9%87%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%B9%D8%A8%D8%B1-%D9%85%D8%B9%D8%A8%D8%B1-%D8%A3%D8%AF%D8%B1%D9%8A,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/alhskt.png.webp?itok=D8ybF59H
19,https://www.misbar.com/factcheck/2025/04/28/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-2023-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%AA%D8%AE%D8%B1%D9%8A%D8%AC-%D8%AF%D9%81%D8%B9%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%85%D9%86-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/tkhrj-df%60t-mn-ald%60m-alsry%60-%60am-2023.PNG.webp?itok=FVk3Lh-u
20,https://www.misbar.com/factcheck/2025/04/24/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D9%83-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B4%D8%B1-%D8%B9%D8%A7%D9%85-2024-%D9%88%D9%84%D9%8A%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/small_scale_180/public/images/2025-04/m%60ark-alfashr2024.jpg.webp?itok=3bTUKwLM
